prediction	error	relative_error	error_decile	abs_error_decile
7753.992588262693	-107.99258826269306	-0.014124063335429383	3	0
2867.285962109545	-53.285962109544926	-0.018936020650158113	3	0
9435.107700505443	-1179.107700505443	-0.14281827767750038	3	1
5363.484393121812	17.51560687818801	0.0032550839766192175	3	0
7139.51939649357	76.48060350643027	0.010598753257542998	3	0
4632.166944934344	106.83305506565557	0.022543375198492418	3	0
8014.962311623606	182.03768837639382	0.022207842915260928	3	0
10001.014309509983	-2538.014309509983	-0.34007963412970427	2	2
2516.0775235951373	50.922476404862664	0.01983734959285651	3	0
8037.560847660447	125.4391523395534	0.015366795582451721	3	0
2958.2523811222277	83.74761887777231	0.027530446705382086	3	0
2388.616884180314	61.38311581968583	0.025054332987626868	3	0
23216.238560084286	-7047.258549599057	-0.7992899759811118	0	6
18210.74419840321	764.2558015967916	0.040276985591398765	4	0
7248.920564325214	132.0794356747856	0.01789451777195307	3	0
3195.8108424774027	-105.81084247740273	-0.03424299109301059	3	0
2611.2076006605257	-89.20760066052571	-0.03537176869965333	3	0
2775.510308618069	-4.510308618068848	-0.001627682648166311	3	0
2442.1767832087	1.823216791300183	0.0007459970504501567	3	0
13258.3963400047	-439.3963400046996	-0.034276959201552354	3	0
2305.823638567741	-11.823638567741	-0.005154158050453792	3	0
10841.206438052974	-2858.2064380529737	-0.35803663260089863	2	2
5039.7046132015585	-184.70461320155846	-0.038044204572926565	3	0
3704.1308149074107	253.8691850925893	0.06414077440439346	3	0
4616.15671551394	-117.15671551394007	-0.026040612472536136	3	0
7737.006231657937	372.99376834206305	0.045991833334409746	4	0
20282.413621283984	2361.586378716016	0.10429192628139976	5	2
18092.599765330717	-6774.599765330717	-0.5985686309710829	0	5
29026.57202886989	11380.710154772563	0.5009786987661408	9	9
21656.30699939542	-7047.258549599057	-0.6442416672534674	0	6
13247.727981701022	-2590.727981701022	-0.24310105861884415	2	2
5962.505319969301	103.49468003069887	0.01706143752566747	3	0
7941.756831834134	60.24316816586634	0.007528513892260227	3	0
9187.14583804706	215.85416195294056	0.022955882372959754	3	0
8531.359001936227	186.6409980637727	0.021408694432641973	3	0
6782.068266730247	-80.06826673024716	-0.011946921326506588	3	0
9259.603764684287	-1546.603764684287	-0.20051909304865642	2	1
7667.172744113556	-377.1727441135563	-0.05173837367812843	3	0
2423.884088176064	46.11591182393613	0.01867040964531827	3	0
14982.46521510671	41.534784893290634	0.0027645623597770657	3	0
16746.216648500016	11380.710154772563	0.4636404891262566	9	9
14336.159110486256	-6498.159110486256	-0.8290583197864578	0	5
